amostra_id,idade_label,idade_dias,epsilon_t,epsilon_previsto,residuo,erro_absoluto,sinal_real,sinal_previsto
19,3 dias,3.0,60.0,77.65616703958545,-17.656167039585455,17.656167039585455,expansao,expansao
19,7 dias,7.0,100.0,75.23251917056285,24.767480829437147,24.767480829437147,expansao,expansao
19,14 dias,14.0,-50.0,-48.63116675850003,-1.3688332414999707,1.3688332414999707,retracao,retracao
19,28 dias,28.0,-190.0,-170.64579996360612,-19.354200036393877,19.354200036393877,retracao,retracao
19,56 dias,56.0,-360.0,-308.45891138794696,-51.541088612053045,51.541088612053045,retracao,retracao
20,12 h,0.5,0.0,91.17061007097043,-91.17061007097043,91.17061007097043,estabilidade,expansao
20,1 dia,1.0,20.0,105.46332101945562,-85.46332101945562,85.46332101945562,expansao,expansao
20,3 dias,3.0,60.0,109.90035186375586,-49.90035186375586,49.90035186375586,expansao,expansao
20,7 dias,7.0,120.0,106.9758524012771,13.024147598722905,13.024147598722905,expansao,expansao
20,14 dias,14.0,-20.0,-13.933388564534823,-6.066611435465177,6.066611435465177,retracao,retracao
20,28 dias,28.0,-210.0,-131.14755394939658,-78.85244605060342,78.85244605060342,retracao,retracao
20,56 dias,56.0,-360.0,-263.7773235680413,-96.22267643195869,96.22267643195869,retracao,retracao
21,12 h,0.5,0.0,-177.6470764772646,177.6470764772646,177.6470764772646,estabilidade,retracao
21,1 dia,1.0,-70.0,-172.27543521438122,102.27543521438122,102.27543521438122,retracao,retracao
21,3 dias,3.0,-160.0,-168.27088455133674,8.270884551336735,8.270884551336735,retracao,retracao
21,7 dias,7.0,-290.0,-175.72940912452836,-114.27059087547164,114.27059087547164,retracao,retracao
21,14 dias,14.0,-380.0,-293.8357839621458,-86.1642160378542,86.1642160378542,retracao,retracao
21,28 dias,28.0,-500.0,-409.1982366515567,-90.80176334844327,90.80176334844327,retracao,retracao
21,56 dias,56.0,-620.0,-543.0181236784798,-76.98187632152019,76.98187632152019,retracao,retracao
22,12 h,0.5,0.0,-88.34359127444796,88.34359127444796,88.34359127444796,estabilidade,retracao
22,1 dia,1.0,-60.0,-73.83539617893919,13.835396178939192,13.835396178939192,retracao,retracao
22,3 dias,3.0,-130.0,-57.9608891781987,-72.0391108218013,72.0391108218013,retracao,retracao
22,7 dias,7.0,-250.0,-60.38453704722133,-189.61546295277867,189.61546295277867,retracao,retracao
22,14 dias,14.0,-370.0,-184.24822297628424,-185.75177702371576,185.75177702371576,retracao,retracao
22,28 dias,28.0,-480.0,-306.2628561813903,-173.7371438186097,173.7371438186097,retracao,retracao
22,56 dias,56.0,-590.0,-444.07596760573114,-145.92403239426886,145.92403239426886,retracao,retracao
23,12 h,0.5,0.0,-77.93540084363573,77.93540084363573,77.93540084363573,estabilidade,retracao
23,1 dia,1.0,-20.0,-63.64268989515055,43.64268989515055,43.64268989515055,retracao,retracao
23,3 dias,3.0,-70.0,-59.205659050850315,-10.794340949149685,10.794340949149685,retracao,retracao
23,7 dias,7.0,-100.0,-62.130158513329086,-37.869841486670914,37.869841486670914,retracao,retracao
23,14 dias,14.0,-200.0,-183.03939947914097,-16.960600520859032,16.960600520859032,retracao,retracao
23,28 dias,28.0,-460.0,-300.2535648640028,-159.74643513599722,159.74643513599722,retracao,retracao
23,56 dias,56.0,-580.0,-432.8833344826474,-147.1166655173526,147.1166655173526,retracao,retracao
24,12 h,0.5,0.0,-48.29390326021965,48.29390326021965,48.29390326021965,estabilidade,retracao
24,1 dia,1.0,10.0,-42.92226199733631,52.92226199733631,52.92226199733631,expansao,retracao
24,3 dias,3.0,20.0,-38.91771133429185,58.91771133429185,58.91771133429185,expansao,retracao
24,7 dias,7.0,40.0,-46.37623590748346,86.37623590748346,86.37623590748346,expansao,retracao
24,14 dias,14.0,-120.0,-164.48261074510089,44.482610745100885,44.482610745100885,retracao,retracao
24,28 dias,28.0,-240.0,-279.84506343451187,39.84506343451187,39.84506343451187,retracao,retracao
24,56 dias,56.0,-360.0,-413.66495046143484,53.66495046143484,53.66495046143484,retracao,retracao
25,12 h,0.5,0.0,21.34940475583244,-21.34940475583244,21.34940475583244,estabilidade,expansao
25,1 dia,1.0,20.0,35.857599851341206,-15.857599851341206,15.857599851341206,expansao,expansao
25,3 dias,3.0,70.0,51.73210685208173,18.267893147918272,18.267893147918272,expansao,expansao
25,7 dias,7.0,100.0,49.3084589830591,50.6915410169409,50.6915410169409,expansao,expansao
25,14 dias,14.0,-50.0,-74.5552269460038,24.5552269460038,24.5552269460038,retracao,retracao
25,28 dias,28.0,-190.0,-196.5698601511099,6.569860151109907,6.569860151109907,retracao,retracao
25,56 dias,56.0,-360.0,-334.38297157545077,-25.617028424549233,25.617028424549233,retracao,retracao
26,12 h,0.5,0.0,-54.14424495925188,54.14424495925188,54.14424495925188,estabilidade,retracao
26,1 dia,1.0,-50.0,-39.851534010766684,-10.148465989233316,10.148465989233316,retracao,retracao
26,3 dias,3.0,-120.0,-35.414503166466474,-84.58549683353353,84.58549683353353,retracao,retracao
26,7 dias,7.0,-190.0,-38.339002628945224,-151.66099737105478,151.66099737105478,retracao,retracao
26,14 dias,14.0,-310.0,-159.24824359475713,-150.75175640524287,150.75175640524287,retracao,retracao
26,28 dias,28.0,-430.0,-276.4624089796189,-153.53759102038111,153.53759102038111,retracao,retracao
26,56 dias,56.0,-580.0,-409.09217859826356,-170.90782140173644,170.90782140173644,retracao,retracao
27,12 h,0.5,0.0,84.10801392229362,-84.10801392229362,84.10801392229362,estabilidade,expansao
27,1 dia,1.0,0.0,89.47965518517694,-89.47965518517694,89.47965518517694,estabilidade,expansao
27,3 dias,3.0,10.0,93.48420584822142,-83.48420584822142,83.48420584822142,expansao,expansao
27,7 dias,7.0,10.0,86.02568127502983,-76.02568127502983,76.02568127502983,expansao,expansao
27,14 dias,14.0,-110.0,-32.08069356258761,-77.91930643741239,77.91930643741239,retracao,retracao
27,28 dias,28.0,-200.0,-147.4431462519986,-52.5568537480014,52.5568537480014,retracao,retracao
27,56 dias,56.0,-350.0,-281.26303327892157,-68.73696672107843,68.73696672107843,retracao,retracao
28,12 h,0.5,0.0,26.128417993959175,-26.128417993959175,26.128417993959175,estabilidade,expansao
28,1 dia,1.0,20.0,40.63661308946797,-20.63661308946797,20.63661308946797,expansao,expansao
28,3 dias,3.0,50.0,56.51112009020841,-6.511120090208408,6.511120090208408,expansao,expansao
28,7 dias,7.0,80.0,54.087472221185806,25.912527778814194,25.912527778814194,expansao,expansao
28,14 dias,14.0,-60.0,-69.77621370787708,9.776213707877076,9.776213707877076,retracao,retracao
28,28 dias,28.0,-200.0,-191.79084691298317,-8.20915308701683,8.20915308701683,retracao,retracao
28,56 dias,56.0,-350.0,-329.603958337324,-20.396041662675998,20.396041662675998,retracao,retracao
29,12 h,0.5,0.0,-92.02774141413973,92.02774141413973,92.02774141413973,estabilidade,retracao
29,1 dia,1.0,-100.0,-77.73503046565452,-22.264969534345482,22.264969534345482,retracao,retracao
29,3 dias,3.0,-140.0,-73.29799962135428,-66.70200037864572,66.70200037864572,retracao,retracao
29,7 dias,7.0,-180.0,-76.22249908383307,-103.77750091616693,103.77750091616693,retracao,retracao
29,14 dias,14.0,-310.0,-197.13174004964495,-112.86825995035505,112.86825995035505,retracao,retracao
29,28 dias,28.0,-390.0,-314.34590543450673,-75.65409456549327,75.65409456549327,retracao,retracao
29,56 dias,56.0,-560.0,-446.97567505315146,-113.02432494684854,113.02432494684854,retracao,retracao
30,12 h,0.5,0.0,43.48679322135524,-43.48679322135524,43.48679322135524,estabilidade,expansao
30,1 dia,1.0,20.0,48.85843448423856,-28.858434484238558,28.858434484238558,expansao,expansao
30,3 dias,3.0,40.0,52.86298514728304,-12.862985147283041,12.862985147283041,expansao,expansao
30,7 dias,7.0,70.0,45.404460574091416,24.595539425908584,24.595539425908584,expansao,expansao
30,14 dias,14.0,-100.0,-72.70191426352604,-27.298085736473965,27.298085736473965,retracao,retracao
30,28 dias,28.0,-230.0,-188.06436695293704,-41.935633047062964,41.935633047062964,retracao,retracao
30,56 dias,56.0,-350.0,-321.88425397986,-28.115746020140023,28.115746020140023,retracao,retracao
31,12 h,0.5,0.0,-90.02779000380374,90.02779000380374,90.02779000380374,estabilidade,retracao
31,1 dia,1.0,-60.0,-75.51959490829495,15.519594908294948,15.519594908294948,retracao,retracao
31,3 dias,3.0,-120.0,-59.645087907554455,-60.354912092445545,60.354912092445545,retracao,retracao
31,7 dias,7.0,-180.0,-62.068735776577114,-117.93126422342289,117.93126422342289,retracao,retracao
31,14 dias,14.0,-270.0,-185.93242170564,-84.06757829436,84.06757829436,retracao,retracao
31,28 dias,28.0,-380.0,-307.9470549107461,-72.05294508925391,72.05294508925391,retracao,retracao
31,56 dias,56.0,-500.0,-445.76016633508686,-54.239833664913135,54.239833664913135,retracao,retracao
32,12 h,0.5,0.0,7.23493908140226,-7.23493908140226,7.23493908140226,estabilidade,expansao
32,1 dia,1.0,70.0,21.527650029887454,48.472349970112546,48.472349970112546,expansao,expansao
32,3 dias,3.0,120.0,25.964680874187692,94.03531912581231,94.03531912581231,expansao,expansao
32,7 dias,7.0,170.0,23.04018141170893,146.95981858829106,146.95981858829106,expansao,expansao
32,14 dias,14.0,-50.0,-97.86905955410299,47.86905955410299,47.86905955410299,retracao,retracao
32,28 dias,28.0,-240.0,-215.08322493896475,-24.916775061035253,24.916775061035253,retracao,retracao
32,56 dias,56.0,-380.0,-347.7129945576095,-32.28700544239052,32.28700544239052,retracao,retracao
33,12 h,0.5,0.0,-86.00284259694678,86.00284259694678,86.00284259694678,estabilidade,retracao
33,1 dia,1.0,30.0,-80.63120133406343,110.63120133406343,110.63120133406343,expansao,retracao
33,3 dias,3.0,70.0,-76.62665067101898,146.62665067101898,146.62665067101898,expansao,retracao
33,7 dias,7.0,80.0,-84.0851752442106,164.0851752442106,164.0851752442106,expansao,retracao
33,14 dias,14.0,-90.0,-202.191550081828,112.19155008182801,112.19155008182801,retracao,retracao
33,28 dias,28.0,-280.0,-317.55400277123897,37.55400277123897,37.55400277123897,retracao,retracao
33,56 dias,56.0,-490.0,-451.373889798162,-38.626110201838,38.626110201838,retracao,retracao
34,12 h,0.5,0.0,30.148934743223265,-30.148934743223265,30.148934743223265,estabilidade,expansao
34,1 dia,1.0,20.0,44.65712983873209,-24.65712983873209,24.65712983873209,expansao,expansao
34,3 dias,3.0,50.0,60.53163683947258,-10.531636839472583,10.531636839472583,expansao,expansao
34,7 dias,7.0,90.0,58.107988970449924,31.892011029550076,31.892011029550076,expansao,expansao
34,14 dias,14.0,-40.0,-65.75569695861293,25.75569695861293,25.75569695861293,retracao,retracao
34,28 dias,28.0,-160.0,-187.77033016371905,27.770330163719052,27.770330163719052,retracao,retracao
34,56 dias,56.0,-350.0,-325.5834415880599,-24.416558411940116,24.416558411940116,retracao,retracao
35,12 h,0.5,0.0,-78.41756724335414,78.41756724335414,78.41756724335414,estabilidade,retracao
35,1 dia,1.0,-70.0,-64.12485629486896,-5.875143705131038,5.875143705131038,retracao,retracao
35,3 dias,3.0,-110.0,-59.687825450568724,-50.312174549431276,50.312174549431276,retracao,retracao
35,7 dias,7.0,-170.0,-62.61232491304749,-107.38767508695251,107.38767508695251,retracao,retracao
35,14 dias,14.0,-220.0,-183.52156587885938,-36.47843412114062,36.47843412114062,retracao,retracao
35,28 dias,28.0,-340.0,-300.73573126372116,-39.26426873627884,39.26426873627884,retracao,retracao
35,56 dias,56.0,-490.0,-433.36550088236584,-56.634499117634164,56.634499117634164,retracao,retracao
36,12 h,0.5,0.0,46.77395262103545,-46.77395262103545,46.77395262103545,estabilidade,expansao
36,1 dia,1.0,10.0,52.14559388391882,-42.14559388391882,42.14559388391882,expansao,expansao
36,3 dias,3.0,50.0,56.15014454696325,-6.150144546963247,6.150144546963247,expansao,expansao
36,7 dias,7.0,90.0,48.69161997377165,41.30838002622835,41.30838002622835,expansao,expansao
36,14 dias,14.0,-50.0,-69.41475486384577,19.414754863845772,19.414754863845772,retracao,retracao
36,28 dias,28.0,-180.0,-184.77720755325674,4.777207553256744,4.777207553256744,retracao,retracao
36,56 dias,56.0,-350.0,-318.5970945801797,-31.402905419820286,31.402905419820286,retracao,retracao
37,12 h,0.5,0.0,-74.5119767890322,74.5119767890322,74.5119767890322,estabilidade,retracao
37,1 dia,1.0,90.0,-60.00378169352342,150.00378169352342,150.00378169352342,expansao,retracao
37,3 dias,3.0,30.0,-44.12927469278293,74.12927469278293,74.12927469278293,expansao,retracao
37,7 dias,7.0,10.0,-46.55292256180559,56.55292256180559,56.55292256180559,expansao,retracao
37,14 dias,14.0,-150.0,-170.41660849086847,20.41660849086847,20.41660849086847,retracao,retracao
37,28 dias,28.0,-370.0,-292.43124169597456,-77.56875830402544,77.56875830402544,retracao,retracao
37,56 dias,56.0,-490.0,-430.2443531203154,-59.755646879684605,59.755646879684605,retracao,retracao
38,12 h,0.5,0.0,66.69619239376537,-66.69619239376537,66.69619239376537,estabilidade,expansao
38,1 dia,1.0,30.0,80.98890334225057,-50.988903342250566,50.988903342250566,expansao,expansao
38,3 dias,3.0,60.0,85.4259341865508,-25.425934186550805,25.425934186550805,expansao,expansao
38,7 dias,7.0,100.0,82.50143472407204,17.49856527592796,17.49856527592796,expansao,expansao
38,14 dias,14.0,-150.0,-38.40780624173989,-111.59219375826011,111.59219375826011,retracao,retracao
38,28 dias,28.0,-220.0,-155.62197162660163,-64.37802837339837,64.37802837339837,retracao,retracao
38,56 dias,56.0,-350.0,-288.25174124524636,-61.748258754753635,61.748258754753635,retracao,retracao
39,12 h,0.5,0.0,-129.46612879768628,129.46612879768628,129.46612879768628,estabilidade,retracao
39,1 dia,1.0,-90.0,-124.09448753480297,34.094487534802965,34.094487534802965,retracao,retracao
39,3 dias,3.0,-120.0,-120.08993687175851,0.0899368717585105,0.0899368717585105,retracao,retracao
39,7 dias,7.0,-160.0,-127.5484614449501,-32.45153855504989,32.45153855504989,retracao,retracao
39,14 dias,14.0,-210.0,-245.65483628256754,35.654836282567544,35.654836282567544,retracao,retracao
39,28 dias,28.0,-360.0,-361.0172889719785,1.0172889719784735,1.0172889719784735,retracao,retracao
39,56 dias,56.0,-490.0,-494.83717599890144,4.837175998901444,4.837175998901444,retracao,retracao
