wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,idade_dias,idade_horas,cement,curing,local_ensaio,estado,regiao,idade_label,epsilon_t,amostra_id,epsilon_previsto,residuo,erro_absoluto,sinal_previsto
0.5,384,192.0,12.5,0.0,4.5,0.6,14.0,336,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,14 dias,-100.0,11,-81.70500000000001,-18.294999999999987,18.294999999999987,retracao
0.5,384,192.0,12.5,0.0,4.5,0.6,28.0,672,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,28 dias,-220.0,11,-209.97333333333327,-10.026666666666728,10.026666666666728,retracao
0.5,384,192.0,12.5,0.0,4.5,0.6,56.0,1344,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,56 dias,-380.0,11,-328.9825,-51.017499999999984,51.017499999999984,retracao
0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,0.5,12,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,12 h,0.0,12,0.0,0.0,0.0,estabilidade
0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,1.0,24,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,1 dia,-50.0,12,-47.98333333333333,-2.016666666666673,2.016666666666673,retracao
0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,3.0,72,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,3 dias,-150.0,12,-107.09666666666669,-42.90333333333331,42.90333333333331,retracao
0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,7.0,168,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,7 dias,-270.0,12,-159.85166666666663,-110.14833333333337,110.14833333333337,retracao
0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,14.0,336,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,14 dias,-370.0,12,-248.09833333333327,-121.90166666666673,121.90166666666673,retracao
0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,28.0,672,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,28 dias,-480.0,12,-355.439761904762,-124.56023809523799,124.56023809523799,retracao
0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,56.0,1344,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,56 dias,-650.0,12,-479.9919047619047,-170.00809523809528,170.00809523809528,retracao
