amostra_id,idade_label,real,previsto
35,7 dias,-170.0,-62.61232491304749
35,14 dias,-220.0,-183.52156587885938
35,28 dias,-340.0,-300.73573126372116
35,56 dias,-490.0,-433.36550088236584
36,12 h,0.0,46.77395262103545
36,1 dia,10.0,52.14559388391882
36,3 dias,50.0,56.15014454696325
36,7 dias,90.0,48.69161997377165
36,14 dias,-50.0,-69.41475486384577
36,28 dias,-180.0,-184.77720755325674
36,56 dias,-350.0,-318.5970945801797
37,12 h,0.0,-74.5119767890322
37,1 dia,90.0,-60.00378169352342
37,3 dias,30.0,-44.12927469278293
37,7 dias,10.0,-46.55292256180559
37,14 dias,-150.0,-170.41660849086847
37,28 dias,-370.0,-292.43124169597456
37,56 dias,-490.0,-430.2443531203154
38,12 h,0.0,66.69619239376537
38,1 dia,30.0,80.98890334225057
38,3 dias,60.0,85.4259341865508
38,7 dias,100.0,82.50143472407204
38,14 dias,-150.0,-38.40780624173989
38,28 dias,-220.0,-155.62197162660163
38,56 dias,-350.0,-288.25174124524636
39,12 h,0.0,-129.46612879768628
39,1 dia,-90.0,-124.09448753480297
39,3 dias,-120.0,-120.08993687175851
39,7 dias,-160.0,-127.5484614449501
39,14 dias,-210.0,-245.65483628256754
39,28 dias,-360.0,-361.0172889719785
39,56 dias,-490.0,-494.83717599890144
40,12 h,0.0,88.91647573293767
40,1 dia,50.0,103.42467082844644
40,3 dias,80.0,119.29917782918693
40,7 dias,130.0,116.87552996016433
40,14 dias,-30.0,-6.988155968898553
40,28 dias,-120.0,-129.00278917400465
40,56 dias,-340.0,-266.8159005983455
41,12 h,0.0,38.203067343364566
41,1 dia,20.0,52.49577829184976
41,3 dias,60.0,56.93280913615003
41,7 dias,90.0,54.008309673671235
41,14 dias,-20.0,-66.90093129214065
41,28 dias,-150.0,-184.1150966770024
41,56 dias,-340.0,-316.74486629564717
42,12 h,0.0,-77.57470936465302
42,1 dia,40.0,-72.20306810176967
42,3 dias,100.0,-68.19851743872519
42,7 dias,110.0,-75.65704201191683
42,14 dias,-60.0,-193.76341684953422
42,28 dias,-390.0,-309.12586953894527
42,56 dias,-480.0,-442.94575656586824
43,12 h,0.0,48.46825712983548
43,1 dia,10.0,62.97645222534419
43,3 dias,40.0,78.85095922608474
43,7 dias,70.0,76.42731135706214
43,14 dias,-70.0,-47.4363745720008
43,28 dias,-210.0,-169.4510077771069
43,56 dias,-340.0,-307.2641192014477
44,12 h,0.0,-110.22533069067646
44,1 dia,10.0,-95.93261974219125
44,3 dias,-10.0,-91.49558889789101
44,7 dias,-60.0,-94.42008836036979
44,14 dias,-200.0,-215.32932932618166
44,28 dias,-400.0,-332.5434947110434
44,56 dias,-480.0,-465.1732643296881
45,12 h,0.0,88.78929893029135
45,1 dia,160.0,94.16094019317472
45,3 dias,140.0,98.16549085621918
45,7 dias,110.0,90.70696628302758
45,14 dias,-30.0,-27.39940855458987
45,28 dias,-220.0,-142.76186124400084
45,56 dias,-330.0,-276.5817482709238
46,12 h,0.0,-69.99635921755848
46,1 dia,-50.0,-55.48816412204968
46,3 dias,-100.0,-39.61365712130919
46,7 dias,-160.0,-42.03730499033185
46,14 dias,-250.0,-165.90099091939473
46,28 dias,-350.0,-287.9156241245008
46,56 dias,-480.0,-425.72873554884166
47,12 h,0.0,60.28014581933702
47,1 dia,40.0,74.57285676782222
47,3 dias,80.0,79.00988761212245
47,7 dias,110.0,76.08538814964372
47,14 dias,-50.0,-44.823852816168184
47,28 dias,-140.0,-162.03801820102996
47,56 dias,-330.0,-294.6677878196747
48,12 h,0.0,-79.94926736405466
48,1 dia,-120.0,-74.57762610117133
48,3 dias,-150.0,-70.57307543812686
48,7 dias,-180.0,-78.03160001131849
48,14 dias,-250.0,-196.13797484893593
48,28 dias,-300.0,-311.5004275383469
48,56 dias,-470.0,-445.3203145652699
49,12 h,0.0,68.73924595365821
49,1 dia,30.0,83.24744104916704
49,3 dias,60.0,99.12194804990753
49,7 dias,90.0,96.69830018088493
49,14 dias,-30.0,-27.16538574817801
49,28 dias,-160.0,-149.1800189532841
49,56 dias,-330.0,-286.99313037762494
50,12 h,0.0,-23.801275899224976
50,1 dia,-120.0,-9.508564950739796
50,3 dias,-150.0,-5.071534106439557
50,7 dias,-180.0,-7.996033568918321
50,14 dias,-250.0,-128.9052745347302
50,28 dias,-300.0,-246.11943991959203
50,56 dias,-470.0,-378.74920953823664
51,12 h,0.0,79.51098581523163
51,1 dia,40.0,84.88262707811498
51,3 dias,90.0,88.88717774115943
51,7 dias,130.0,81.42865316796781
51,14 dias,-60.0,-36.6777216696496
51,28 dias,-190.0,-152.0401743590606
51,56 dias,-330.0,-285.86006138598356
52,12 h,0.0,-112.08752512881557
52,1 dia,-60.0,-97.5793300333068
52,3 dias,-120.0,-81.70482303256631
52,7 dias,-170.0,-84.12847090158894
52,14 dias,-280.0,-207.99215683065182
52,28 dias,-350.0,-330.0067900357579
52,56 dias,-470.0,-467.8199014600987
53,12 h,0.0,60.14643567823235
53,1 dia,20.0,74.43914662671754
53,3 dias,60.0,78.87617747101781
53,7 dias,100.0,75.95167800853902
53,14 dias,-40.0,-44.957562957272856
53,28 dias,-130.0,-162.17172834213463
