amostra_id,wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,cement,curing,local_ensaio,estado,regiao,epsilon_t,idade_label,idade_dias,idade_horas,epsilon_abs_t,sinal
9,0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,150.0,3 dias,3.0,72,150.0,expansao
9,0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,170.0,7 dias,7.0,168,170.0,expansao
9,0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,-60.0,14 dias,14.0,336,60.0,retracao
9,0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,-260.0,28 dias,28.0,672,260.0,retracao
9,0.55,327,179.85000000000002,8.0,25.0,0.0,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Não informado,SP,Sudeste,-270.0,56 dias,56.0,1344,270.0,retracao
10,0.49,380,186.2,0.0,0.0,0.0,0.6,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
10,0.49,380,186.2,0.0,0.0,0.0,0.6,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-40.0,1 dia,1.0,24,40.0,retracao
10,0.49,380,186.2,0.0,0.0,0.0,0.6,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-120.0,3 dias,3.0,72,120.0,retracao
10,0.49,380,186.2,0.0,0.0,0.0,0.6,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-170.0,7 dias,7.0,168,170.0,retracao
10,0.49,380,186.2,0.0,0.0,0.0,0.6,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-380.0,14 dias,14.0,336,380.0,retracao
10,0.49,380,186.2,0.0,0.0,0.0,0.6,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-550.0,28 dias,28.0,672,550.0,retracao
10,0.49,380,186.2,0.0,0.0,0.0,0.6,CP V ARI RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-660.0,56 dias,56.0,1344,660.0,retracao
11,0.5,384,192.0,12.5,0.0,4.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
11,0.5,384,192.0,12.5,0.0,4.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,10.0,1 dia,1.0,24,10.0,expansao
11,0.5,384,192.0,12.5,0.0,4.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,20.0,3 dias,3.0,72,20.0,expansao
11,0.5,384,192.0,12.5,0.0,4.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,50.0,7 dias,7.0,168,50.0,expansao
11,0.5,384,192.0,12.5,0.0,4.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-100.0,14 dias,14.0,336,100.0,retracao
11,0.5,384,192.0,12.5,0.0,4.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-220.0,28 dias,28.0,672,220.0,retracao
11,0.5,384,192.0,12.5,0.0,4.5,0.6,CP II E 40,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,-380.0,56 dias,56.0,1344,380.0,retracao
12,0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,0.0,12 h,0.5,12,0.0,estabilidade
12,0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-50.0,1 dia,1.0,24,50.0,retracao
12,0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-150.0,3 dias,3.0,72,150.0,retracao
12,0.55,332,182.60000000000002,0.0,0.0,0.0,0.6,CP III RS,7 dias úmida / 56 dias ar 50% umidade,Não informado,RJ,Sudeste,-270.0,7 dias,7.0,168,270.0,retracao
